text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
monocle,34,that,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.49000000953674316, 0.6499999761581421, 0.2800000011920929, 0.49000000953674316, 0.3100000023841858, 0.15000000596046448]"
monocle,35,can,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.4699999988079071, 0.6499999761581421, 0.3100000023841858, 0.5299999713897705, 0.33000001311302185, 0.17000000178813934]"
monocle,36,be,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.41999998688697815, 0.6899999976158142, 0.25, 0.5099999904632568, 0.33000001311302185, 0.14000000059604645]"
monocle,37,attached,yes,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens')]","[0.5099999904632568, 0.7400000095367432, 0.3400000035762787, 0.20999999344348907, 0.6700000166893005, 0.25999999046325684]"
monocle,38,to,yes,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.4699999988079071, 0.7099999785423279, 0.28999999165534973, 0.10999999940395355, 0.5099999904632568, 0.3100000023841858, 0.14000000059604645]"
monocle,39,a,yes,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.5799999833106995, 0.6800000071525574, 0.3499999940395355, 0.6600000262260437, 0.3199999928474426, 0.1599999964237213]"
monocle,40,string,yes,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens')]","[0.49000000953674316, 0.699999988079071, 0.44999998807907104, 0.2199999988079071, 0.6000000238418579, 0.25]"
monocle,41,or,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens')]","[0.5299999713897705, 0.7099999785423279, 0.44999998807907104, 0.23000000417232513, 0.6000000238418579, 0.27000001072883606]"
monocle,42,wire.,yes,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire.","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.4399999976158142, 0.6800000071525574]"
monocle,43,The,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.4699999988079071, 0.6899999976158142]"
monocle,44,other,yes,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Corrective lens | corrective lens', 'part of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens')]","[0.5400000214576721, 0.699999988079071, 0.3799999952316284, 0.18000000715255737, 0.6299999952316284, 0.10000000149011612, 0.27000001072883606]"
monocle,45,end,yes,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.5600000023841858, 0.699999988079071]"
monocle,46,of,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.6499999761581421, 0.6899999976158142]"
monocle,47,the,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.5699999928474426, 0.7200000286102295]"
monocle,48,string,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.5600000023841858, 0.699999988079071]"
monocle,49,is,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.5799999833106995, 0.7099999785423279]"
monocle,50,then,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.5899999737739563, 0.7099999785423279]"
monocle,51,connected,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.5099999904632568, 0.75]"
monocle,52,to,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.6200000047683716, 0.7200000286102295]"
monocle,53,the,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.6000000238418579, 0.7300000190734863]"
monocle,54,wearer's,yes,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens')]","[0.6499999761581421, 0.7200000286102295, 0.46000000834465027, 0.3400000035762787, 0.6299999952316284, 0.2199999988079071]"
monocle,55,clothing,yes,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.6399999856948853, 0.6700000166893005, 0.41999998688697815, 0.3100000023841858, 0.6800000071525574, 0.18000000715255737, 0.11999999731779099]"
monocle,56,to,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.6299999952316284, 0.6800000071525574, 0.4300000071525574, 0.28999999165534973, 0.6700000166893005, 0.20999999344348907, 0.10999999940395355]"
monocle,57,avoid,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.6399999856948853, 0.6899999976158142, 0.44999998807907104, 0.25999999046325684, 0.5799999833106995, 0.20000000298023224, 0.11999999731779099]"
monocle,58,losing,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.6200000047683716, 0.7099999785423279, 0.44999998807907104, 0.27000001072883606, 0.5899999737739563, 0.20000000298023224, 0.12999999523162842]"
monocle,59,the,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.6200000047683716, 0.7099999785423279, 0.38999998569488525, 0.23000000417232513, 0.5600000023841858, 0.23000000417232513, 0.14000000059604645]"
monocle,60,monocle.,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle.","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.5699999928474426, 0.7300000190734863, 0.4099999964237213, 0.4000000059604645, 0.7200000286102295, 0.17000000178813934, 0.12999999523162842]"
monocle,61,During,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.6200000047683716, 0.75, 0.46000000834465027, 0.4300000071525574, 0.7300000190734863, 0.1599999964237213, 0.12999999523162842]"
monocle,62,the,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.5400000214576721, 0.699999988079071, 0.4399999976158142, 0.3799999952316284, 0.7099999785423279, 0.17000000178813934, 0.1599999964237213]"
monocle,63,late,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.46000000834465027, 0.6800000071525574, 0.3799999952316284, 0.3100000023841858, 0.6100000143051147, 0.17000000178813934, 0.1599999964237213]"
monocle,64,nineteenth,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.5799999833106995, 0.75, 0.4300000071525574, 0.3499999940395355, 0.7200000286102295, 0.18000000715255737, 0.17000000178813934]"
monocle,65,"century,",no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century,","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.6000000238418579, 0.7799999713897705, 0.41999998688697815, 0.3100000023841858, 0.6600000262260437, 0.1599999964237213, 0.14000000059604645]"
