text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
monocle,73,upper-class,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class","[('Lens | lens', 'part of', 'Monolopia | monocle'), ('Monocular vision | the monocle', 'subclass of', 'Lens | lens'), ('Monocular vision | the monocle', 'instance of', 'Lens | lens'), ('Monolopia | monocle', 'subclass of', 'Lens | lens'), ('Monolopia | monocle', 'instance of', 'Lens | lens'), ('Monolopia | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monolopia | monocle', 'instance of', 'Corrective lens | corrective lens')]","[('Monolopia | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monolopia | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monolopia | monocle', 'subclass of', 'Lens | lens'), ('Monolopia | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Monolopia | monocle'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens'), ('Monocular vision | the monocle', 'subclass of', 'Lens | lens'), ('Monocular vision | the monocle', 'instance of', 'Lens | lens')]","[0.3799999952316284, 0.5299999713897705, 0.4399999976158142, 0.18000000715255737, 0.6700000166893005, 0.10000000149011612, 0.20000000298023224, 0.12999999523162842, 0.18000000715255737, 0.3100000023841858]"
monocle,74,men.,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men.","[('Monocular vision | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocular vision | the monocle', 'part of', 'Monocular vision | monocle'), ('Monocular vision | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Glasses | It', 'instance of', 'Corrective lens | corrective lens')]","[('Monocular vision | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocular vision | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Glasses | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocular vision | the monocle', 'part of', 'Monocular vision | monocle')]","[0.3499999940395355, 0.5400000214576721, 0.30000001192092896, 0.15000000596046448]"
monocle,75,Combined,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined","[('Glasses | monocle', 'subclass of', 'Glasses | It'), ('Glasses | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Glasses | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Glasses | the monocle', 'part of', 'Glasses | monocle')]","[('Glasses | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Glasses | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Glasses | monocle', 'subclass of', 'Glasses | It'), ('Glasses | It', 'instance of', 'Corrective lens | corrective lens'), ('Glasses | the monocle', 'part of', 'Glasses | monocle')]","[0.3400000035762787, 0.5400000214576721, 0.11999999731779099, 0.3100000023841858, 0.11999999731779099]"
monocle,76,with,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with","[('Monocular vision | the monocle', 'used by', 'Glasses | It'), ('Monocular vision | the monocle', 'part of', 'Glasses | It')]","[('Monocular vision | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocular vision | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Glasses | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocular vision | the monocle', 'part of', 'Monocular vision | monocle'), ('Monocular vision | the monocle', 'part of', 'Glasses | It'), ('Monocular vision | the monocle', 'used by', 'Glasses | It')]","[0.3799999952316284, 0.5899999737739563, 0.33000001311302185, 0.11999999731779099, 0.10000000149011612, 0.14000000059604645]"
monocle,77,a,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a","[('Monocular vision | the monocle', 'part of', 'Glasses | monocle')]","[('Glasses | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Glasses | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Glasses | monocle', 'subclass of', 'Glasses | It'), ('Glasses | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocular vision | the monocle', 'part of', 'Glasses | monocle')]","[0.3400000035762787, 0.550000011920929, 0.10000000149011612, 0.3199999928474426, 0.10999999940395355]"
monocle,82,top,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top","[('Glasses | monocle', 'subclass of', 'Glasses | the monocle')]","[('Glasses | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Glasses | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Glasses | monocle', 'subclass of', 'Glasses | It'), ('Glasses | monocle', 'subclass of', 'Glasses | the monocle'), ('Glasses | It', 'instance of', 'Corrective lens | corrective lens')]","[0.3700000047683716, 0.36000001430511475, 0.14000000059604645, 0.11999999731779099, 0.2800000011920929]"
monocle,83,"hat,","A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat,","[('Glasses | the monocle', 'part of', 'Glasses | lens'), ('Glasses | the monocle', 'instance of', 'Glasses | lens'), ('Glasses | the monocle', 'subclass of', 'Glasses | lens'), ('Glasses | It', 'subclass of', 'Glasses | lens'), ('Glasses | monocle', 'subclass of', 'Glasses | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Glasses | lens'), ('Glasses | lens', 'part of', 'Glasses | monocle'), ('Glasses | It', 'instance of', 'Glasses | lens')]","[('Glasses | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Glasses | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Glasses | monocle', 'subclass of', 'Glasses | lens'), ('Glasses | monocle', 'subclass of', 'Glasses | the monocle'), ('Corrective lens | corrective lens', 'subclass of', 'Glasses | lens'), ('Glasses | It', 'instance of', 'Corrective lens | corrective lens'), ('Glasses | It', 'subclass of', 'Glasses | lens'), ('Glasses | It', 'instance of', 'Glasses | lens'), ('Glasses | lens', 'part of', 'Glasses | monocle'), ('Glasses | lens', 'part of', 'Corrective lens | corrective lens'), ('Glasses | the monocle', 'part of', 'Glasses | monocle'), ('Glasses | the monocle', 'part of', 'Glasses | lens'), ('Glasses | the monocle', 'subclass of', 'Glasses | lens'), ('Glasses | the monocle', 'instance of', 'Glasses | lens')]","[0.23000000417232513, 0.20000000298023224, 0.41999998688697815, 0.1599999964237213, 0.2800000011920929, 0.23000000417232513, 0.11999999731779099, 0.12999999523162842, 0.10999999940395355, 0.10000000149011612, 0.11999999731779099, 0.10000000149011612, 0.14000000059604645, 0.11999999731779099]"
monocle,85,monocle,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle","[('Glasses | the monocle', 'used by', 'Monocle | It')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Glasses | the monocle', 'used by', 'Monocle | It')]","[0.2199999988079071, 0.6700000166893005, 0.23000000417232513, 0.10000000149011612]"
monocle,91,stereotypical,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical","[('Monocle | monocle', 'instance of', 'Glasses | lens'), ('Monocle | It', 'subclass of', 'Glasses | lens'), ('Monocle | It', 'instance of', 'Glasses | lens'), ('Monocle | the monocle', 'subclass of', 'Glasses | lens'), ('Monocle | the monocle', 'instance of', 'Glasses | lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Glasses | lens'), ('Monocle | monocle', 'instance of', 'Glasses | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Glasses | lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | It', 'subclass of', 'Glasses | lens'), ('Monocle | It', 'instance of', 'Glasses | lens'), ('Glasses | lens', 'part of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'subclass of', 'Glasses | lens'), ('Monocle | the monocle', 'instance of', 'Glasses | lens'), ('Monocle | the monocle', 'subclass of', 'Glasses | lens'), ('Monocle | the monocle', 'instance of', 'Glasses | lens'), ('Monocle | the monocle', 'instance of', 'Glasses | lens')]","[0.25999999046325684, 0.6200000047683716, 0.5, 0.28999999165534973, 0.33000001311302185, 0.20999999344348907, 0.2800000011920929, 0.5, 0.10999999940395355, 0.2800000011920929, 0.3400000035762787, 0.11999999731779099, 0.27000001072883606, 0.14000000059604645]"
monocle,95,capitalist.,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist.","[('Glasses | monocle', 'has use', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Glasses | monocle'), ('Top hat | top hat', 'subclass of', 'Glasses | the monocle'), ('Top hat | top hat', 'part of', 'Glasses | the monocle'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens')]","[('Glasses | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Glasses | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Glasses | monocle', 'has use', 'Corrective lens | corrective lens'), ('Glasses | monocle', 'subclass of', 'Glasses | the monocle'), ('Glasses | It', 'instance of', 'Corrective lens | corrective lens'), ('Glasses | the monocle', 'part of', 'Glasses | monocle'), ('Top hat | top hat', 'part of', 'Glasses | monocle'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'subclass of', 'Glasses | the monocle'), ('Top hat | top hat', 'subclass of', 'Glasses | the monocle'), ('Top hat | top hat', 'part of', 'Glasses | the monocle')]","[0.3199999928474426, 0.3100000023841858, 0.12999999523162842, 0.20000000298023224, 0.20999999344348907, 0.1599999964237213, 0.20000000298023224, 0.1599999964237213, 0.15000000596046448, 0.2800000011920929, 0.15000000596046448]"
monocle,96,Monocles,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles","[('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.3100000023841858, 0.699999988079071, 0.10000000149011612, 0.28999999165534973, 0.10999999940395355]"
monocle,103,from,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from","[('Monocle | monocle', 'subclass of', 'Monocle | the monocle'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Monocle | the monocle'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens')]","[0.4000000059604645, 0.6800000071525574, 0.14000000059604645, 0.18000000715255737, 0.2800000011920929, 0.33000001311302185, 0.17000000178813934, 0.12999999523162842, 0.10999999940395355]"
monocle,106,Despite,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite","[('Monocle | monocle', 'subclass of', 'Glasses | the monocle'), ('Glasses | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Glasses | the monocle', 'instance of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Glasses | the monocle'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Glasses | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Glasses | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens')]","[0.4399999976158142, 0.699999988079071, 0.30000001192092896, 0.44999998807907104, 0.41999998688697815, 0.12999999523162842, 0.3400000035762787, 0.10999999940395355, 0.17000000178813934, 0.18000000715255737, 0.12999999523162842, 0.12999999523162842]"
monocle,108,prevalence,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence","[('Monocle | It', 'subclass of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Glasses | the monocle'), ('Monocle | It', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Glasses | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Glasses | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens')]","[0.47999998927116394, 0.6499999761581421, 0.3100000023841858, 0.4099999964237213, 0.10000000149011612, 0.4099999964237213, 0.15000000596046448, 0.25999999046325684, 0.10999999940395355, 0.20000000298023224, 0.2199999988079071, 0.11999999731779099, 0.14000000059604645]"
monocle,109,in,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in","[('Monocle | the monocle', 'has use', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens')]","[0.4000000059604645, 0.6600000262260437, 0.3100000023841858, 0.30000001192092896, 0.3499999940395355, 0.10999999940395355, 0.11999999731779099, 0.2199999988079071, 0.14000000059604645, 0.14000000059604645]"
monocle,112,nineteenth,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth","[('Top hat | top hat', 'subclass of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Monocle | the monocle'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'subclass of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens')]","[0.4000000059604645, 0.6800000071525574, 0.2199999988079071, 0.25, 0.47999998927116394, 0.10999999940395355, 0.3499999940395355, 0.20999999344348907, 0.10000000149011612, 0.25999999046325684, 0.1599999964237213, 0.14000000059604645]"
monocle,114,monocles,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles","[('Upper-class citizen | upper-class men. Combined with a long coat', 'subclass of', 'Upper-class citizen | upper-class'), ('Monocle | monocles', 'used by', 'Monocle | monocles')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Upper-class citizen | upper-class men. Combined with a long coat', 'subclass of', 'Upper-class citizen | upper-class'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocles', 'used by', 'Monocle | monocles')]","[0.3400000035762787, 0.7099999785423279, 0.3499999940395355, 0.33000001311302185, 0.10000000149011612, 0.4000000059604645, 0.14000000059604645, 0.14000000059604645, 0.10000000149011612, 0.2800000011920929, 0.14000000059604645, 0.15000000596046448, 0.10999999940395355]"
